Group,Code,Name,Inputs,Description,Included
Overlap Studies,SMA,Simple Moving Average,"close, period=30",Arithmetic mean of price over the window.,Yes
Overlap Studies,EMA,Exponential Moving Average,"close, period=30",Exponentially weighted moving average (more weight on recent bars).,Yes
Overlap Studies,WMA,Weighted Moving Average,"close, period=30",Linearly weighted moving average (weight increases toward the latest bar).,Yes
Overlap Studies,DEMA,Double Exponential Moving Average,"close, period=30",Reduced-lag MA: 2*EMA - EMA(EMA).,Yes
Overlap Studies,TEMA,Triple Exponential Moving Average,"close, period=30",Further reduced-lag MA: 3*EMA - 3*EMA(EMA) + EMA(EMA(EMA)).,Yes
Overlap Studies,BBANDS,Bollinger Bands,"close, period=5, nbdevup=2, nbdevdn=2, matype",Middle MA plus upper/lower bands set N standard deviations away.,Yes
Momentum Indicators,RSI,Relative Strength Index,"close, period=14",Wilder momentum oscillator of average gains vs losses (0-100).,Yes
Momentum Indicators,MACD,Moving Average Convergence/Divergence,"close, fast=12, slow=26, signal=9",Fast EMA minus slow EMA with a signal line and histogram.,Yes
Momentum Indicators,STOCH,Stochastic,"high, low, close, fastk=5, slowk=3, slowd=3",Smoothed %K/%D showing close position within the recent range (0-100).,Yes
Momentum Indicators,STOCHF,Stochastic Fast,"high, low, close, fastk=5, fastd=3",Unsmoothed (fast) stochastic %K/%D.,Yes
Momentum Indicators,STOCHRSI,Stochastic RSI,"close, period=14, fastk=5, fastd=3",Stochastic formula applied to RSI values instead of price.,Yes
Momentum Indicators,WILLR,Williams' %R,"high, low, close, period=14",Close position within the range scaled 0 to -100 (inverse stochastic).,Yes
Momentum Indicators,ADX,Average Directional Movement Index,"high, low, close, period=14",Trend strength regardless of direction (0-100).,Yes
Momentum Indicators,DX,Directional Movement Index,"high, low, close, period=14",Raw directional index before ADX smoothing.,Yes
Volatility Indicators,ATR,Average True Range,"high, low, close, period=14",Wilder-smoothed true range; a volatility measure in price units.,Yes
Volatility Indicators,NATR,Normalized Average True Range,"high, low, close, period=14",ATR expressed as a percentage of the close.,Yes
Volatility Indicators,TRANGE,True Range,"high, low, close",Per-bar true range (max of the three high/low/prev-close spans); unsmoothed.,Yes
Overlap Studies,TRIMA,Triangular Moving Average,"close, period=30",Double-smoothed (triangular weighted) MA emphasising the middle of the window.,
Overlap Studies,KAMA,Kaufman Adaptive Moving Average,"close, period=30",MA that speeds up in trends and slows in noise via an efficiency ratio.,
Overlap Studies,MAMA,MESA Adaptive Moving Average,"close, fastlimit=0.5, slowlimit=0.05",Adaptive MA based on Hilbert transform; outputs MAMA and FAMA lines.,
Overlap Studies,T3,Triple Exponential MA (T3 / Tillson),"close, period=5, vfactor=0.7",Tillson smoother with very low lag and little overshoot.,
Overlap Studies,MA,Moving Average (generic),"close, period=30, matype",Dispatches to any MA type selected by the matype parameter.,
Overlap Studies,MAVP,Moving Average with Variable Period,"close, periods[], minperiod=2, maxperiod=30, matype",MA whose averaging period varies per bar from a periods array.,
Overlap Studies,MIDPOINT,MidPoint over period,"close, period=14",(highest + lowest close) / 2 over the window.,
Overlap Studies,MIDPRICE,Midpoint Price over period,"high, low, period=14",(highest high + lowest low) / 2 over the window.,
Overlap Studies,SAR,Parabolic SAR,"high, low, accel=0.02, max=0.2",Trailing stop-and-reverse dots that flip with the trend.,
Overlap Studies,SAREXT,Parabolic SAR - Extended,"high, low, +8 params",SAR with extra controls for start value,
Overlap Studies,HT_TRENDLINE,Hilbert Transform - Instantaneous Trendline,close,Smoothed near-zero-lag trendline derived from the Hilbert transform.,
Momentum Indicators,MACDEXT,MACD with controllable MA type,"close, fast/slow/signal + matypes",MACD allowing each moving average's type to be chosen.,
Momentum Indicators,MACDFIX,MACD Fix 12/26,"close, signal=9",MACD with fixed 12/26 periods; only the signal period is configurable.,
Momentum Indicators,CCI,Commodity Channel Index,"high, low, close, period=14",Deviation of typical price from its average / mean deviation.,
